vertex_index,old_full_qmi_raw_score,archived_raw_score,new_dynamics_raw_score,dynamics_score_from_qmi_block,absolute_difference,relative_difference,old_processed_score,new_processed_score,old_anchor,new_anchor,old_tier,new_tier
0,12788.610459362953,12788.610459362953,12788.610459362928,12788.610459362957,2.546585164964199e-11,1.991291526985062e-15,0.6311435564997425,0.6311435564997425,False,False,2,2
1,12788.595454680977,12788.595454680977,12788.59545468095,12788.595454680972,2.7284841053187847e-11,2.1335291392926848e-15,0.6311429903989907,0.6311429903989906,False,False,2,2
2,12787.8466508639,12787.8466508639,12787.846650863883,12787.846650863909,1.6370904631912708e-11,1.2801924420016994e-15,0.6311147382198616,0.6311147382198621,False,False,2,2
3,12787.831562842184,12787.831562842184,12787.831562842164,12787.83156284219,2.000888343900442e-11,1.5646814974592383e-15,0.6311141689303685,0.6311141689303688,False,False,2,2
4,12127.545918353402,12127.545918353402,12127.545918353371,12127.545918353408,3.092281986027956e-11,2.549800270265895e-15,0.6053402152456726,0.6053402152456722,False,False,1,1
5,12127.526988747017,12127.526988747017,12127.526988746988,12127.52698874702,2.9103830456733704e-11,2.3998157648907968e-15,0.6053394511036077,0.6053394511036073,False,False,1,1
6,12126.745289884278,12126.745289884278,12126.74528988425,12126.745289884282,2.9103830456733704e-11,2.3999704587686143e-15,0.6053078945339812,0.6053078945339807,False,False,1,1
7,12126.726267726619,12126.726267726619,12126.726267726592,12126.726267726623,2.7284841053187847e-11,2.2499758344345724e-15,0.6053071265929578,0.6053071265929575,False,False,1,1
8,12788.609511248484,12788.609511248484,12788.609511248458,12788.609511248484,2.546585164964199e-11,1.9912916746142712e-15,0.6311435207290459,0.6311435207290459,False,False,2,2
9,12788.594508439937,12788.594508439937,12788.594508439908,12788.594508439941,2.9103830456733704e-11,2.2757645836316408e-15,0.6311429546989205,0.6311429546989202,False,False,2,2
10,12787.84570324374,12787.84570324374,12787.845703243716,12787.845703243747,2.3646862246096134e-11,1.8491669976982843e-15,0.6311147024650212,0.6311147024650212,False,False,2,2
11,12787.830617095417,12787.830617095417,12787.830617095397,12787.830617095415,2.000888343900442e-11,1.5646816131780426e-15,0.6311141332461583,0.6311141332461585,False,False,2,2
12,12127.544949375031,12127.544949375031,12127.54494937501,12127.544949375046,2.1827872842550278e-11,1.7998591581122225e-15,0.6053401761304138,0.6053401761304136,False,False,1,1
13,12127.526021706515,12127.526021706515,12127.526021706486,12127.526021706512,2.9103830456733704e-11,2.399815956250439e-15,0.6053394120665003,0.6053394120664999,False,False,1,1
14,12126.744321462818,12126.744321462818,12126.74432146279,12126.744321462818,2.9103830456733704e-11,2.3999706504262295e-15,0.605307855438002,0.6053078554380016,False,False,1,1
15,12126.725301242957,12126.725301242957,12126.725301242932,12126.725301242965,2.546585164964199e-11,2.0999776128376395e-15,0.6053070875751332,0.605307087575133,False,False,1,1
16,12788.603356683077,12788.603356683077,12788.603356683052,12788.603356683081,2.546585164964199e-11,1.9912926329311815e-15,0.6311432885279988,0.6311432885279988,False,False,2,2
17,12788.588354481411,12788.588354481411,12788.58835448138,12788.58835448141,3.092281986027956e-11,2.4180010336671367e-15,0.6311427225204136,0.6311427225204134,False,False,2,2
18,12787.839558710053,12787.839558710053,12787.839558710031,12787.839558710057,2.1827872842550278e-11,1.7069242026643098e-15,0.6311144706243417,0.6311144706243418,False,False,2,2
19,12787.824473168035,12787.824473168035,12787.824473168006,12787.824473168032,2.9103830456733704e-11,2.2759016217184257e-15,0.6311139014279976,0.6311139014279975,False,False,2,2
20,12127.532083406382,12127.532083406382,12127.53208340635,12127.532083406375,3.2741809263825417e-11,2.699791601345234e-15,0.6053396567627325,0.6053396567627319,False,False,1,1
21,12127.513157326244,12127.513157326244,12127.513157326219,12127.513157326248,2.546585164964199e-11,2.0998411891442098e-15,0.6053388927619326,0.6053388927619324,False,False,1,1
22,12126.731470121627,12126.731470121627,12126.731470121604,12126.731470121633,2.3646862246096134e-11,1.9499782199645724e-15,0.6053073366183104,0.6053073366183104,False,False,1,1
23,12126.712451490002,12126.712451490002,12126.712451489962,12126.712451489999,4.001776687800884e-11,3.299968316894649e-15,0.605306568818551,0.6053065688185503,False,False,1,1
24,12788.602408614845,12788.602408614845,12788.602408614817,12788.602408614843,2.7284841053187847e-11,2.1335279791643093e-15,0.6311432527590205,0.6311432527590205,False,False,2,2
25,12788.587408286601,12788.587408286601,12788.587408286581,12788.587408286596,2.000888343900442e-11,1.5645890198974826e-15,0.6311426868220615,0.6311426868220618,False,False,2,2
26,12787.838611136069,12787.838611136069,12787.838611136038,12787.838611136063,3.092281986027956e-11,2.4181427996245556e-15,0.6311144348712174,0.6311144348712172,False,False,2,2
27,12787.82352746743,12787.82352746743,12787.823527467392,12787.823527467426,3.8198777474462986e-11,2.9871210994126127e-15,0.6311138657455032,0.6311138657455028,False,False,2,2
28,12127.53111449528,12127.53111449528,12127.53111449525,12127.531114495283,2.9103830456733704e-11,2.399814948480958e-15,0.6053396176501338,0.6053396176501333,False,False,1,1
29,12127.512190353009,12127.512190353009,12127.51219035298,12127.512190353009,2.9103830456733704e-11,2.3998186932258647e-15,0.6053388537274854,0.605338853727485,False,False,1,1
30,12126.730501767359,12126.730501767359,12126.730501767335,12126.730501767359,2.3646862246096134e-11,1.949978375675935e-15,0.6053072975249886,0.6053072975249885,False,False,1,1
31,12126.711485073512,12126.711485073512,12126.711485073494,12126.711485073522,1.8189894035458565e-11,1.4999857181271347e-15,0.6053065298033831,0.6053065298033833,False,False,1,1
32,12788.611614349446,12788.611614349446,12788.611614349422,12788.611614349451,2.3646862246096134e-11,1.849056250919623e-15,0.6311436000753533,0.6311436000753534,False,False,2,2
33,12788.596611828187,12788.596611828187,12788.596611828169,12788.596611828185,1.8189894035458565e-11,1.4223526308300874e-15,0.6311430340561885,0.6311430340561888,False,False,2,2
34,12787.847766979376,12787.847766979376,12787.847766979354,12787.847766979376,2.1827872842550278e-11,1.7069231070230555e-15,0.6311147803322273,0.6311147803322275,False,False,2,2
35,12787.8326810802,12787.8326810802,12787.832681080163,12787.832681080195,3.637978807091713e-11,2.8448752011544225e-15,0.6311142111228851,0.6311142111228848,False,False,2,2
36,12127.547267274913,12127.547267274913,12127.547267274886,12127.54726727491,2.7284841053187847e-11,2.2498235176385186e-15,0.6053402696982892,0.6053402696982889,False,False,1,1
37,12127.52834013899,12127.52834013899,12127.528340138972,12127.528340139,1.8189894035458565e-11,1.499884685921921e-15,0.6053395056560564,0.6053395056560564,False,False,1,1
38,12126.746593046735,12126.746593046735,12126.746593046711,12126.74659304674,2.3646862246096134e-11,1.949975788201498e-15,0.6053079471437265,0.6053079471437264,False,False,1,1
39,12126.727573315435,12126.727573315435,12126.727573315404,12126.72757331544,3.092281986027956e-11,2.549972337823805e-15,0.6053071793007598,0.6053071793007594,False,False,1,1
40,12788.610666263201,12788.610666263201,12788.610666263168,12788.610666263197,3.2741809263825417e-11,2.5602319218458535e-15,0.6311435643057257,0.6311435643057255,False,False,2,2
41,12788.59566561539,12788.59566561539,12788.595665615368,12788.595665615398,2.1827872842550278e-11,1.7068232832818955e-15,0.631142998357188,0.6311429983571881,False,False,2,2
42,12787.846819387065,12787.846819387065,12787.84681938704,12787.846819387065,2.546585164964199e-11,1.9914104390924034e-15,0.6311147445784417,0.6311147445784416,False,False,2,2
43,12787.831735361304,12787.831735361304,12787.831735361277,12787.831735361302,2.7284841053187847e-11,2.1336565586595083e-15,0.6311141754397306,0.6311141754397306,False,False,2,2
44,12127.546298326932,12127.546298326932,12127.546298326906,12127.546298326934,2.546585164964199e-11,2.0998354508986832e-15,0.6053402305842626,0.6053402305842623,False,False,1,1
45,12127.527373128913,12127.527373128913,12127.527373128876,12127.527373128909,3.637978807091713e-11,2.999769611035816e-15,0.6053394666201826,0.6053394666201819,False,False,1,1
46,12126.745624655272,12126.745624655272,12126.745624655237,12126.74562465528,3.456079866737127e-11,2.8499648411115853e-15,0.6053079080489635,0.605307908048963,False,False,1,1
47,12126.726606861797,12126.726606861797,12126.726606861772,12126.726606861801,2.546585164964199e-11,2.0999773867444467e-15,0.6053071402841526,0.6053071402841523,False,False,1,1
48,12788.604511596446,12788.604511596446,12788.604511596419,12788.60451159645,2.7284841053187847e-11,2.133527628323052e-15,0.6311433321008824,0.6311433321008824,False,False,2,2
49,12788.58951155543,12788.58951155543,12788.589511555405,12788.58951155543,2.546585164964199e-11,1.9912947887358275e-15,0.6311427661748819,0.6311427661748819,False,False,2,2
50,12787.840674753308,12787.840674753308,12787.840674753283,12787.840674753297,2.546585164964199e-11,1.9914113959770033e-15,0.6311145127340128,0.6311145127340129,False,False,2,2
51,12787.825591333749,12787.825591333749,12787.825591333718,12787.825591333745,3.092281986027956e-11,2.4181452616335192e-15,0.6311139436178168,0.6311139436178166,False,False,2,2
52,12127.53343222553,12127.53343222553,12127.533432225504,12127.53343222553,2.546585164964199e-11,2.0998376786143183e-15,0.6053397112112939,0.6053397112112937,False,False,1,1
