KBudget,Strategy,SurrogatePassPct,NearSurrogatePct,FailPct,GammaMeanSuccessful,SDPRoundsMeanSuccessful,MaxViolationSuccessful,MonteCarloSuccessMeanPct,MonteCarloSuccessStdPct,RMSE95MeanSuccessful
8,SFPS+ICE,100.0,0.0,0.0,4.388913142170178,3.0,3.515895138776641e-05,85.72,2.3919866220361685,0.35612117453330283
8,SFPS-init,0.0,0.0,100.0,nan,nan,nan,0.0,0.0,nan
8,Random+ICE,40.0,0.0,60.0,4.4066591718007295,3.5,2.647412764211683e-05,35.480000000000004,43.45509866517392,0.3567204143838143
8,TopK+ICE,0.0,0.0,100.0,nan,nan,nan,0.0,0.0,nan
8,FPS-Param+ICE,20.0,0.0,80.0,4.360938512670968,3.0,3.6901437661800035e-05,17.48,34.96,0.35687685802937485
8,FPS-Delta+ICE,60.0,0.0,40.0,4.374550333058482,3.6666666666666665,6.81980248256524e-05,52.71999999999999,43.098139170966526,0.3595104474027407
12,SFPS+ICE,100.0,0.0,0.0,4.378922923921263,2.0,3.688558006161259e-05,88.12,4.056796765922596,0.35899434885890774
12,SFPS-init,0.0,0.0,100.0,nan,nan,nan,0.0,0.0,nan
12,Random+ICE,40.0,0.0,60.0,4.374524653181219,2.5,3.7216125366153694e-05,34.839999999999996,42.67803181966104,0.358757795454153
12,TopK+ICE,0.0,0.0,100.0,nan,nan,nan,0.0,0.0,nan
12,FPS-Param+ICE,40.0,20.0,40.0,4.382449545613066,3.3333333333333335,0.00010263551392649181,56.48,46.327115170275825,0.3645610733184889
12,FPS-Delta+ICE,80.0,20.0,0.0,4.390378299795834,3.8,0.00010270177892839977,88.39999999999999,4.9299087212645265,0.3582875823121571
16,SFPS+ICE,100.0,0.0,0.0,4.3644374526657215,1.0,3.675691504645605e-05,89.03999999999999,2.5966131787387976,0.3593532171855203
16,SFPS-init,100.0,0.0,0.0,4.3644374526657215,1.0,3.675691504645605e-05,89.03999999999999,2.5966131787387976,0.3593532171855203
16,Random+ICE,80.0,20.0,0.0,4.3905489857573174,3.0,0.0001026141653871617,92.4,3.9293765408776986,0.36195089018788096
16,TopK+ICE,0.0,0.0,100.0,nan,nan,nan,0.0,0.0,nan
16,FPS-Param+ICE,100.0,0.0,0.0,4.384059921875859,2.0,3.62465331446796e-05,90.55999999999999,4.054429676292341,0.35974064700203123
16,FPS-Delta+ICE,100.0,0.0,0.0,4.391577331214202,2.8,6.88319176559646e-05,89.24000000000001,3.5516756608677023,0.36002701094922085
20,SFPS+ICE,100.0,0.0,0.0,4.3690130745744975,1.0,3.733528949768871e-05,90.16,3.576366871561137,0.3624598164667059
20,SFPS-init,100.0,0.0,0.0,4.3690130745744975,1.0,3.733528949768871e-05,90.16,3.576366871561137,0.3624598164667059
20,Random+ICE,100.0,0.0,0.0,4.394821637958541,2.8,6.899753479887019e-05,91.8,4.823276894394515,0.36145170878446253
20,TopK+ICE,0.0,0.0,100.0,nan,nan,nan,0.0,0.0,nan
20,FPS-Param+ICE,100.0,0.0,0.0,4.387794472327731,1.6,6.83500391678653e-05,88.55999999999999,2.381260170581958,0.35918702047792317
20,FPS-Delta+ICE,100.0,0.0,0.0,4.383386336623625,3.6,6.871570859663651e-05,90.96000000000001,2.288755120147197,0.3594776432884375
